"Description","Asset Title","Customer","Type","RTU","RTU Channel","Product","Data Timestamp","Template"
"Battery","K O'Donnell's sport bar & grill 1150LBS Canola Oil Tank","K O'Donnell's sport bar & grill","BatteryVoltage","E6003740","BATT_VOLTAGE","","5/6/2026 4:01:00 AM","400 Series Battery Voltage"
"Level","K O'Donnell's sport bar & grill 1150LBS Canola Oil Tank","K O'Donnell's sport bar & grill","Level","E6003740","1","Canola Oil","5/6/2026 4:01:00 AM","ICON PVC 5v - SENS-3660-10 (394)"
"Battery","La Canasta Tortilla 4 Tanks  24,000 lbs total","La Canasta Tortilla","BatteryVoltage","E100A907","BATT_VOLTAGE","","5/6/2026 12:01:22 PM","400 Series Battery Voltage"
"Level","La Canasta Tortilla 4 Tanks  24,000 lbs total","La Canasta Tortilla","Level","E100A907","1","Canola Oil","5/6/2026 12:01:22 PM","ICON 316L SS,FFKM SEAL 4-20mA SENS-3615-10 (394)"
"Battery","La Fiesta Market 1150lbs Fryers Choice V Tank","La Fiesta Market","BatteryVoltage","E60034DE","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","La Fiesta Market 1150lbs Fryers Choice V Tank","La Fiesta Market","Level","E60034DE","1","Fryers Choice","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Legacy Foods 8400Lbs","Legacy Foods","BatteryVoltage","E6003800","BATT_VOLTAGE","","4/29/2026 10:35:00 AM","400 Series Battery Voltage"
"Level","Legacy Foods 8400Lbs","Legacy Foods","Level","E6003800","1","Palm Oil","4/29/2026 10:35:00 AM","ICON PVC 5v - SENS-3660-05 (197)"
"Level Rate of Change","Legacy Foods 8400Lbs","Legacy Foods","Rate Of Change","","","","4/20/2026 6:01:00 PM","Default Rate of Change"
"Battery","LITTLE'S O'S Central 1150lbs Canola Oil Tank","LITTLE'S O'S Central","BatteryVoltage","E6001BC1","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
