"Description","Asset Title","Customer","Type","RTU","RTU Channel","Product","Data Timestamp","Template"
"Daily Average Usage","Tailgaters prescott 1150 lb tank  fryers choice","Tailgaters prescott","Rate Of Change","","","","5/5/2026 11:00:00 PM","Default Rate of Change"
"Level","Tailgaters prescott 1150 lb tank  fryers choice","Tailgaters prescott","Level","E6002211","1","Canola Oil","5/6/2026 1:31:00 PM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Tailgaters Suprise 1150LBS Canola Oil Tank","Tailgaters Suprise","BatteryVoltage","E600373E","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","Tailgaters Suprise 1150LBS Canola Oil Tank","Tailgaters Suprise","Level","E600373E","1","Canola Oil","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-10 (394)"
"Battery","Tailgaters WATSON 1150Lbs Canola Oil Tank","Tailgaters WATSON","BatteryVoltage","E6002212","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","Tailgaters WATSON 1150Lbs Canola Oil Tank","Tailgaters WATSON","Level","E6002212","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","The Palace Saloon -Prescott 1850Lbs Canola Oil tank","The Palace Saloon -Prescott","BatteryVoltage","124734812","BATT_VOLTAGE","","5/6/2026 4:00:44 AM","UTM Battery Voltage"
"Level","The Palace Saloon -Prescott 1850Lbs Canola Oil tank","The Palace Saloon -Prescott","Level","124734812","A","Canola Oil","5/6/2026 4:00:44 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","The Place Restaurant 1150Lbs Canola Oil Tank","The Place Restaurant","BatteryVoltage","E6003923","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Battery Rate of Change","The Place Restaurant 1150Lbs Canola Oil Tank","The Place Restaurant","Rate Of Change","","","","5/5/2026 11:00:00 PM","Default Rate of Change"
"Level","The Place Restaurant 1150Lbs Canola Oil Tank","The Place Restaurant","Level","E6003923","1","Canola Oil","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-10 (394)"
"Battery","The Tack Room 1150lbs Fryers Choice V Tank","The Tack Room","BatteryVoltage","E600373D","BATT_VOLTAGE","","5/6/2026 4:01:00 AM","400 Series Battery Voltage"
"Level","The Tack Room 1150lbs Fryers Choice V Tank","The Tack Room","Level","E600373D","1","Fryers Choice","5/6/2026 4:01:00 AM","ICON PVC 5v - SENS-3660-05 (197)"
"Battery","THE VIG McCormick Ranch /HAYDEN 1150lbs Canola Oil Tank","THE VIG McCormick Ranch /HAYDEN","BatteryVoltage","E60045A5","BATT_VOLTAGE","","5/6/2026 2:00:00 AM","400 Series Battery Voltage"
"Level","THE VIG McCormick Ranch /HAYDEN 1150lbs Canola Oil Tank","THE VIG McCormick Ranch /HAYDEN","Level","E60045A5","1","Canola Oil","5/6/2026 2:00:00 AM","ICON PVC 5v - SENS-3660-05 (197)"
"Battery","Tonto Bar & Grill 675 Lb Fryers Choice Tank","Tonto Bar & Grill","BatteryVoltage","124921779","BATT_VOLTAGE","","5/6/2026 4:00:43 AM","UTM Battery Voltage"
"Level","Tonto Bar & Grill 675 Lb Fryers Choice Tank","Tonto Bar & Grill","Level","124921779","A","Fryers Choice","5/6/2026 4:00:43 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Upper Crust 10,000 LB SOYBEAN OIL ( 2 TANKS )","Upper Crust","BatteryVoltage","E6001731","BATT_VOLTAGE","","1/19/2026 5:00:00 AM","400 Series Battery Voltage"
"Daily Average Usage","Upper Crust 10,000 LB SOYBEAN OIL ( 2 TANKS )","Upper Crust","Rate Of Change","","","","1/19/2026 12:00:00 AM","Default Rate of Change"
"Level","Upper Crust 10,000 LB SOYBEAN OIL ( 2 TANKS )","Upper Crust","Level","E6001731","1","Soybean Oil","1/19/2026 5:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Vig (val vista) 1150 lbs Canola Oil Tank","Vig (val vista)","BatteryVoltage","E30021D3","BATT_VOLTAGE","","5/6/2026 2:00:00 AM","400 Series Battery Voltage"
"Level","Vig (val vista) 1150 lbs Canola Oil Tank","Vig (val vista)","Level","E30021D3","1","Canola Oil","5/6/2026 2:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","VIg peoria/ park west 1150LBS Canola Oil","VIg peoria/ park west","BatteryVoltage","E60018BC","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","VIg peoria/ park west 1150LBS Canola Oil","VIg peoria/ park west","Level","E60018BC","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","VIG SCOTTSDALE 1150 lb canola oil Tank","VIG SCOTTSDALE","BatteryVoltage","E60035A8","BATT_VOLTAGE","","5/6/2026 4:01:00 AM","400 Series Battery Voltage"
"Daily Average Usage","VIG SCOTTSDALE 1150 lb canola oil Tank","VIG SCOTTSDALE","Rate Of Change","","","","5/5/2026 11:00:00 PM","Default Rate of Change"
"Level","VIG SCOTTSDALE 1150 lb canola oil Tank","VIG SCOTTSDALE","Level","E60035A8","1","Canola Oil","5/6/2026 4:01:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
